City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,inhambane,-23.865,35.3833,23.76,80,22,4.11,MZ,1732049131
285,puerto san jose,13.9256,-90.8244,26.9,83,97,4.18,GT,1732049132
286,beinamar,8.6698,15.3813,24.76,30,24,2.24,TD,1732049133
287,alovera,40.5937,-3.2453,10.79,100,10,2.51,ES,1732049134
288,saint-philippe,-21.3585,55.7679,24.22,88,78,5.99,RE,1732049135
289,kloulklubed,7.0419,134.2556,28.52,78,60,8.31,PW,1732049136
290,thohoyandou,-22.9456,30.485,23.45,51,34,0.38,ZA,1732049137
291,sarkand,45.41,79.9186,3.69,59,0,3.9,KZ,1732049139
292,boiling springs,35.0465,-81.9818,16.67,85,100,3.6,US,1732048997
293,vranje,42.5514,21.9003,7.18,65,100,1.64,RS,1732049141
294,boundiali,9.5217,-6.4869,23.35,28,7,0.94,CI,1732049142
295,oliva,38.9197,-0.1194,19.91,61,0,1.79,ES,1732049143
296,kamennomostskiy,44.2983,40.1856,6.56,90,47,1.6,RU,1732049145
297,saint-denis,48.9167,2.3333,8.09,92,75,5.66,FR,1732049146
298,loen,7.7601,168.2307,28.88,71,83,4.61,MH,1732049147
299,whakatane,-37.9585,176.9854,19.73,70,42,1.79,NZ,1732049148
300,paraiso,9.8383,-83.8656,22.27,95,95,1.44,CR,1732049082
301,kimbe,-5.5502,150.1429,25.52,85,77,1.31,PG,1732049150
302,filadelfia,39.9523,-75.1638,16.42,44,75,3.09,US,1732049047
303,felege neway,6.3,36.8833,19.96,72,94,1.09,ET,1732049153
304,zapadnaya dvina,56.259,32.0745,1.51,82,100,4.19,RU,1732049154
305,tulun,54.5611,100.5792,0.66,97,100,4.48,RU,1732049155
306,tadine,-21.55,167.8833,24.0,56,52,4.98,NC,1732049156
307,canutama,-6.5339,-64.3831,34.09,46,100,0.51,BR,1732049157
308,hirara,24.8,125.2833,24.15,83,75,8.23,JP,1732049159
309,tzucacab,20.0667,-89.05,28.82,89,90,1.43,MX,1732049160
310,dryden,49.7833,-92.7503,5.16,93,100,6.69,CA,1732049161
311,kulhudhuffushi,6.6221,73.07,25.12,89,100,4.77,MV,1732049162
312,tamanrasset,22.785,5.5228,17.95,17,0,1.54,DZ,1732049163
313,holualoa,19.6228,-155.9522,25.91,76,20,3.6,US,1732049164
314,machico,32.7,-16.7667,21.51,82,20,3.09,PT,1732049165
315,san patricio,28.017,-97.5169,30.97,17,0,4.38,US,1732049167
316,madang,-5.2246,145.7966,24.84,88,84,0.65,PG,1732049168
317,boca suno,-0.7167,-77.1333,31.53,54,84,2.03,EC,1732049169
318,orleans,30.0335,-89.9501,27.22,74,82,2.68,US,1732049170
319,chubbuck,42.9208,-112.4661,2.3,49,40,6.17,US,1732049171
320,whangarei,-35.7317,174.3239,16.87,67,100,2.29,NZ,1732049173
321,ostersund,63.1792,14.6357,-6.33,94,100,2.57,SE,1732048982
322,tarfaya,27.9358,-12.9218,22.43,69,100,6.45,MA,1732049175
323,tabuk,17.4189,121.4443,22.21,95,98,1.0,PH,1732049176
324,alotau,-10.3069,150.4462,26.43,87,100,2.33,PG,1732049177
